format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
weights,file,4194304,10,9,16,0,118,0.0
weights,file,4194304,10,9,256,0,118,0.0
weights,file,4194304,10,9,4096,0,118,0.0
weights,file,4096,11,10,1,0,121534,0.0
weights,file,4096,11,10,16,0,121534,0.0
weights,file,4096,11,10,256,0,121534,0.0
weights,file,4096,11,10,4096,3,121534,2.5e-05
weights,file,65536,11,10,1,0,7595,0.0
weights,file,65536,11,10,16,0,7595,0.0
weights,file,65536,11,10,256,0,7595,0.0
weights,file,65536,11,10,4096,0,7595,0.0
weights,file,1048576,11,10,1,0,474,0.0
weights,file,1048576,11,10,16,0,474,0.0
weights,file,1048576,11,10,256,0,474,0.0
weights,file,1048576,11,10,4096,0,474,0.0
weights,file,4194304,11,10,1,0,118,0.0
weights,file,4194304,11,10,16,0,118,0.0
weights,file,4194304,11,10,256,0,118,0.0
weights,file,4194304,11,10,4096,0,118,0.0
weights,file,4096,12,11,1,0,121534,0.0
weights,file,4096,12,11,16,0,121534,0.0
weights,file,4096,12,11,256,0,121534,0.0
weights,file,4096,12,11,4096,3,121534,2.5e-05
weights,file,65536,12,11,1,0,7595,0.0
weights,file,65536,12,11,16,0,7595,0.0
weights,file,65536,12,11,256,0,7595,0.0
weights,file,65536,12,11,4096,0,7595,0.0
weights,file,1048576,12,11,1,0,474,0.0
weights,file,1048576,12,11,16,0,474,0.0
weights,file,1048576,12,11,256,0,474,0.0
weights,file,1048576,12,11,4096,0,474,0.0
weights,file,4194304,12,11,1,0,118,0.0
weights,file,4194304,12,11,16,0,118,0.0
weights,file,4194304,12,11,256,0,118,0.0
weights,file,4194304,12,11,4096,0,118,0.0
weights,file,4096,13,12,1,0,121534,0.0
weights,file,4096,13,12,16,0,121534,0.0
weights,file,4096,13,12,256,0,121534,0.0
weights,file,4096,13,12,4096,3,121534,2.5e-05
weights,file,65536,13,12,1,0,7595,0.0
weights,file,65536,13,12,16,0,7595,0.0
weights,file,65536,13,12,256,0,7595,0.0
